Date;Return_incD;Return_excD
19270927;0.00245;0.00245
19270928;-0.003686;-0.003686
19270929;0.002;0.002
19270930;0.014108;0.013227
19271001;0.005389;0.005389
19271003;0.004169;0.004082
19271004;-0.003871;-0.003871
19271005;-0.003317;-0.003317
19271006;0.003631;0.003631
19271007;-0.008777;-0.008891
19271008;-0.003508;-0.003508
19271010;-0.006973;-0.007002
19271011;0.00117;0.000982
19271013;0.008006;0.007581
19271014;-0.000254;-0.000677
19271015;-0.000399;-0.000399
19271017;-0.01449;-0.01449
19271018;0.003989;0.003989
19271019;-0.010699;-0.010699
19271020;-0.010598;-0.010838
19271021;-0.00779;-0.007876
19271022;-0.008031;-0.008031
19271024;0.003315;0.003135
19271025;0.017958;0.017958
19271026;0.000491;0.000491
19271027;-0.004833;-0.004833
19271028;-0.015538;-0.015906
19271029;-0.00428;-0.00428
19271031;0.008025;0.007966
19271101;0.000154;-0.000274
19271102;0.011168;0.011168
19271103;0.011346;0.011346
19271104;-0.00064;-0.000788
19271105;0.007067;0.007067
19271107;0.007355;0.007355
19271109;-0.010496;-0.010744
19271110;0.003474;0.003142
19271111;0.01118;0.011073
19271112;0.003697;0.003697
19271114;0.006295;0.006295
19271115;-0.000916;-0.000958
19271116;-0.000909;-0.000909
19271117;0.001747;0.001747
19271118;0.006586;0.003567
19271119;0.002529;0.002529
19271121;-0.007248;-0.007248
19271122;0.004339;0.004339
19271123;0.003463;0.003463
19271125;0.003207;0.002522
19271126;0.000192;0.000192
19271128;-0.008607;-0.008607
19271129;0.006445;0.006445
19271130;0.007396;0.006401
19271201;-0.005488;-0.006227
19271202;0.005191;0.004478
19271203;0.003966;0.003966
19271205;-0.004067;-0.004244
19271206;-0.001655;-0.001655
19271207;-0.005157;-0.005157
19271208;-0.010489;-0.010489
19271209;0.010858;0.010741
19271210;-0.000947;-0.000947
19271212;0.00449;0.004348
19271213;0.004339;0.004018
19271214;-0.005549;-0.005549
19271215;0.005891;0.005535
19271216;0.007856;0.007345
19271217;-0.001197;-0.001197
